election,election_date,section,contest,choice,total,vote_pct,election_day,absentee,provisional
2019 General Election,2019-11-05,statistics,,Election Day Precincts Reporting,88 of 88,,88,0,0
2019 General Election,2019-11-05,statistics,,Registered Voters - Total,"64,568",,,,
2019 General Election,2019-11-05,statistics,,Ballots Cast - Total,"12,496",,"10,756","1,630",110
2019 General Election,2019-11-05,statistics,,Voter Turnout - Total,,19.35%,,,
2019 General Election,2019-11-05,contest,For Mayor - Delphos,Doug Mullenhour,494,85.03%,432,60,2
2019 General Election,2019-11-05,contest,For Mayor - Delphos,Total Votes Cast,494,85.03%,432,60,2
2019 General Election,2019-11-05,contest,For Mayor - Delphos,Overvotes,0,0.00%,0,0,0
2019 General Election,2019-11-05,contest,For Mayor - Delphos,Undervotes,87,14.97%,77,10,0
2019 General Election,2019-11-05,contest,For Mayor - Delphos,Contest Totals,581,100.00%,509,70,2
2019 General Election,2019-11-05,contest,For President of City Council - Delphos CITY OF DELPHOS,Write-In Totals,60,10.33%,58,1,1
2019 General Election,2019-11-05,contest,For President of City Council - Delphos CITY OF DELPHOS,Write-In: Not Valid,49,8.43%,47,1,1
2019 General Election,2019-11-05,contest,For President of City Council - Delphos CITY OF DELPHOS,Write-In: Nichole Coil,11,1.89%,11,0,0
2019 General Election,2019-11-05,contest,For President of City Council - Delphos CITY OF DELPHOS,Not Assigned,0,0.00%,0,0,0
2019 General Election,2019-11-05,contest,For President of City Council - Delphos CITY OF DELPHOS,Total Votes Cast,60,10.33%,58,1,1
2019 General Election,2019-11-05,contest,For President of City Council - Delphos CITY OF DELPHOS,Overvotes,0,0.00%,0,0,0
2019 General Election,2019-11-05,contest,For President of City Council - Delphos CITY OF DELPHOS,Undervotes,521,89.67%,451,69,1
2019 General Election,2019-11-05,contest,For President of City Council - Delphos CITY OF DELPHOS,Contest Totals,581,100.00%,509,70,2
2019 General Election,2019-11-05,contest,For City Auditor - Delphos,Adam J. Kayser,505,86.92%,445,58,2
2019 General Election,2019-11-05,contest,For City Auditor - Delphos,Total Votes Cast,505,86.92%,445,58,2
2019 General Election,2019-11-05,contest,For City Auditor - Delphos,Overvotes,0,0.00%,0,0,0
2019 General Election,2019-11-05,contest,For City Auditor - Delphos,Undervotes,76,13.08%,64,12,0
2019 General Election,2019-11-05,contest,For City Auditor - Delphos,Contest Totals,581,100.00%,509,70,2
2019 General Election,2019-11-05,contest,For City Director of Law - Delphos,REP Andrew D. Knueve,506,87.09%,449,55,2
2019 General Election,2019-11-05,contest,For City Director of Law - Delphos,Total Votes Cast,506,87.09%,449,55,2
